('!',)	('!', 'SENT')=2,
('circumstances',)	('circumstance', 'NNS')=1,
('circus',)	('circus', 'NN')=1,
('cities',)	('city', 'NNS')=1,
('citoyen',)	('citoyen', 'NN')=1,
('city',)	('city', 'NN')=7,
('civilisations',)	('civilization', 'NNS')=1,
('civility',)	('civility', 'NN')=1,
('claim',)	('claim', 'VVP')=1,
('clarified',)	('clarify', 'VVN')=1,
('classical',)	('classical', 'JJ')=1,
('classroom',)	('classroom', 'NN')=1,
('clear',)	('clear', 'JJ')=2,
('cleft',)	('cleft', 'NN')=1,
('climate',)	('climate', 'NN')=1,
('clogs',)	('clog', 'VVZ')=1,
('closer',)	('close', 'JJR')=1,
('closing',)	('closing', 'NN')=1,
('clothes',)	('clothe', 'NNS')=1,
('clouds',)	('cloud', 'NNS')=1,
('clump',)	('clump', 'NN')=2,
('coast',)	('coast', 'NN')=3,
('cognition',)	('cognition', 'NN')=1,
('coincide',)	('coincide', 'VV')=1,
('collection',)	('collection', 'NN')=1,
('collections',)	('collection', 'NNS')=1,
('collectors',)	('collector', 'NNS')=1,
('colonial',)	('colonial', 'JJ')=1,
('colony',)	('colony', 'NN')=1,
('colour',)	('colour', 'NN')=1,
('coloured-immigrant',)	('coloured-immigrant', 'JJ')=1,
('colours',)	('colour', 'NNS')=1,
('combination',)	('combination', 'NN')=1,
('come',)	('come', 'VVN')=5,('come', 'VV')=3,('come', 'VVP')=2,
('comedies',)	('comedy', 'NNS')=1,
('comedy',)	('comedy', 'NN')=3,
('comes',)	('come', 'VVZ')=2,
('coming',)	('come', 'VVG')=2,
('commanded',)	('command', 'VVN')=1,
('comment',)	('comment', 'NN')=2,
('comments',)	('comment', 'NNS')=3,
('committed',)	('committed', 'JJ')=1,
('common',)	('common', 'JJ')=1,
('commonest',)	('common', 'JJS')=1,
('commune',)	('commune', 'NN')=2,
('communities',)	('community', 'NNS')=1,
('community',)	('community', 'NN')=5,
('company',)	('company', 'NN')=2,
('compared',)	('compare', 'VVN')=1,
('comparing',)	('compare', 'VVG')=1,
('comparisons',)	('comparison', 'NNS')=2,
('complement',)	('complement', 'VV')=1,
('complexion',)	('complexion', 'NN')=1,
('composition',)	('composition', 'NN')=1,
('compounded',)	('compound', 'VVN')=2,
('comprehend',)	('comprehend', 'VV')=1,
('conceived',)	('conceive', 'VVN')=1,
('concentrates',)	('concentrate', 'VVZ')=1,
('concern',)	('concern', 'NN')=2,
('concerns',)	('concern', 'NNS')=1,
('concessions',)	('concession', 'NNS')=1,
('condemned',)	('condemn', 'VVN')=1,
('condemns',)	('condemn', 'VVZ')=2,
('condition',)	('condition', 'NN')=1,
('conduct',)	('conduct', 'NN')=1,
('confession',)	('confession', 'NN')=1,
('conflagration',)	('conflagration', 'NN')=1,
('confronted',)	('confront', 'VVN')=1,
('connected',)	('connect', 'VVN')=1,
('connection',)	('connection', 'NN')=2,
('consciousness',)	('consciousness', 'NN')=1,
('consequence',)	('consequence', 'NN')=2,
('consequences',)	('consequence', 'NNS')=1,
('consider',)	('consider', 'VV')=1,
('considered',)	('consider', 'VVN')=1,
('considering',)	('considering', 'VVG')=1,
('consisted',)	('consist', 'VVD')=1,
('consists',)	('consist', 'VVZ')=1,
('consoled',)	('console', 'VVN')=1,
('conspicuous',)	('conspicuous', 'JJ')=1,
('constitute',)	('constitute', 'VV')=1,
('construed',)	('construe', 'VVN')=1,
('contained',)	('contain', 'VVN')=1,
('contemplating',)	('contemplate', 'VVG')=1,
('contemporary',)	('contemporary', 'JJ')=1,
('contemptible',)	('contemptible', 'JJ')=1,
('contention',)	('contention', 'NN')=1,
('context',)	('context', 'NN')=1,
('contingency',)	('contingency', 'NN')=1,
('contrast',)	('contrast', 'NN')=3,
('controlled',)	('control', 'VVN')=1,
('converge',)	('converge', 'VV')=1,
('convergence',)	('convergence', 'NN')=1,
('convey',)	('convey', 'VV')=2,
('copies',)	('copy', 'NNS')=4,
('copy',)	('copy', 'NN')=2,('copy', 'VVP')=1,
('copyist',)	('copyist', 'NN')=1,
('corner',)	('corner', 'NN')=2,
('corners',)	('corner', 'NNS')=1,
('corpses',)	('corps', 'NNS')=2,
('correct',)	('correct', 'JJ')=1,
('cosmopolitanism',)	('cosmopolitanism', 'NN')=1,
('could',)	('could', 'MD')=14,
('count',)	('count', 'VV')=2,
('counterpart',)	('counterpart', 'NN')=1,
('countries',)	('country', 'NNS')=9,
('country',)	('country', 'NN')=13,
('coup',)	('coup', 'NN')=2,
('coups',)	('coup', 'NNS')=2,
('course',)	('course', 'NN')=3,
('courtesy',)	('courtesy', 'NN')=1,
('cranks',)	('crank', 'NNS')=1,
('critic',)	('critic', 'NN')=11,
('critical',)	('critical', 'JJ')=2,
('criticism',)	('criticism', 'NN')=1,
('critics',)	('critic', 'NNS')=2,
('crook',)	('crook', 'NN')=1,
('crooks',)	('crook', 'NNS')=1,
('cry',)	('cry', 'NN')=1,
('cryptic',)	('cryptic', 'JJ')=1,
('cultivation',)	('cultivation', 'NN')=1,
('culture',)	('culture', 'NN')=1,
('cultures',)	('culture', 'NNS')=1,
('curious',)	('curious', 'JJ')=1,
('current',)	('current', 'JJ')=1,
('dabbling',)	('dabble', 'VVG')=1,
('damaged',)	('damage', 'VVN')=1,
('dark',)	('dark', 'JJ')=1,
('darkness',)	('darkness', 'NN')=7,
('dated',)	('dated', 'VVN')=1,
('daughter',)	('daughter', 'NN')=3,
('day',)	('day', 'NN')=2,
('days',)	('day', 'NNS')=1,
('de',)	('de', 'NP')=2,
('dead',)	('dead', 'JJ')=2,
('deal',)	('deal', 'VV')=1,('deal', 'NN')=1,
('dealings',)	('dealings', 'NNS')=2,
('deals',)	('deal', 'VVZ')=1,
('death',)	('death', 'NN')=1,
('decay',)	('decay', 'NN')=1,
('decide',)	('decide', 'VV')=1,
('declare',)	('declare', 'VV')=1,
('declining',)	('decline', 'VVG')=1,
('deep',)	('deep', 'JJ')=1,
('deepening',)	('deepen', 'VVG')=1,
('deeply',)	('deeply', 'RB')=1,
('defeat',)	('defeat', 'NN')=5,
('defeated',)	('defeat', 'VVN')=2,
('defecting',)	('defect', 'VVG')=1,
('defence',)	('defence', 'NN')=1,
('defender',)	('defender', 'NN')=1,
('define',)	('define', 'VV')=1,
('defining',)	('define', 'VVG')=1,
('definitely',)	('definitely', 'RB')=1,
('degraded',)	('degrade', 'VVN')=1,
('deliberate',)	('deliberate', 'JJ')=1,
('delightful',)	('delightful', 'JJ')=1,
('delivers',)	('deliver', 'VVZ')=1,
('depart',)	('depart', 'VV')=1,
('deprive',)	('deprive', 'VV')=1,
('derives',)	('derive', 'VVZ')=1,
('descends',)	('descend', 'VVZ')=1,
('describe',)	('describe', 'VV')=3,('describe', 'VVP')=1,
('described',)	('describe', 'VVN')=2,
('describes',)	('describe', 'VVZ')=1,
('describing',)	('describe', 'VVG')=2,
('description',)	('description', 'NN')=15,
('descriptions',)	('description', 'NNS')=2,
('desertion',)	('desertion', 'NN')=1,
('deserts',)	('desert', 'VVZ')=1,
('deserves',)	('deserve', 'VVZ')=1,
('design',)	('design', 'VV')=1,('design', 'NN')=1,
('designated',)	('designate', 'VVN')=1,
('desolate',)	('desolate', 'JJ')=1,
('despair',)	('despair', 'NN')=1,
('desperate',)	('desperate', 'JJ')=1,
('destructive',)	('destructive', 'JJ')=1,
('detail',)	('detail', 'NN')=2,
('determined',)	('determine', 'VVN')=1,
('devoid',)	('devoid', 'JJ')=1,
('devoted',)	('devote', 'VVN')=2,
('devotion',)	('devotion', 'NN')=1,
('diagram',)	('diagram', 'NN')=1,
('did',)	('do', 'VVD')=3,
('died',)	('die', 'VVD')=1,
('difference',)	('difference', 'NN')=2,
('differences',)	('difference', 'NNS')=1,
('different',)	('different', 'JJ')=10,
('differs',)	('differ', 'VVZ')=1,
('difficulties',)	('difficulty', 'NNS')=2,
('difficulty',)	('difficulty', 'NN')=2,
('dimensions',)	('dimension', 'NNS')=1,
('diminish',)	('diminish', 'VV')=2,
('diminishable',)	('diminishable', 'JJ')=1,
('diminishes',)	('diminish', 'VVZ')=1,
('diminishing',)	('diminish', 'VVG')=1,
('directed',)	('direct', 'VVN')=1,
('directory',)	('directory', 'NN')=1,
('disappeared',)	('disappear', 'VVD')=1,
('discerns',)	('discern', 'VVZ')=1,
('disclosures',)	('disclosure', 'NNS')=1,
('discontent',)	('discontent', 'NN')=1,
('discount',)	('discount', 'VV')=1,
('discouraging',)	('discourage', 'VVG')=1,
('discovering',)	('discover', 'VVG')=1,
('discovery',)	('discovery', 'NN')=1,
('disdain',)	('disdain', 'NN')=1,
('disentangling',)	('disentangle', 'VVG')=1,
('disgruntled',)	('disgruntled', 'JJ')=1,
('disillusioned',)	('disillusion', 'VVN')=1,
('dislike',)	('dislike', 'NN')=1,
('disordered',)	('disorder', 'VVN')=1,
('dispersal',)	('dispersal', 'NN')=1,
('disposed',)	('disposed', 'JJ')=1,
('dispute',)	('dispute', 'NN')=1,
('distance',)	('distance', 'NN')=3,
('distant',)	('distant', 'JJ')=1,
('distinction',)	('distinction', 'NN')=3,
('distinguished',)	('distinguish', 'VVN')=1,
('distinguishes',)	('distinguish', 'VVZ')=1,
('distorted',)	('distorted', 'JJ')=1,
('district',)	('district', 'NN')=1,
('disturbances',)	('disturbance', 'NNS')=1,
('divided',)	('divide', 'VVN')=1,
('divisions',)	('division', 'NNS')=1,
('do',)	('do', 'VVP')=6,('do', 'VV')=2,
('dock',)	('dock', 'NN')=2,
('doer',)	('doer', 'NN')=1,
('doers',)	('doer', 'NNS')=2,
('does',)	('do', 'VVZ')=11,
('doing',)	('do', 'VVG')=2,
('doings',)	('doing', 'NNS')=1,
('dominant',)	('dominant', 'JJ')=1,
('done',)	('do', 'VVN')=3,
('dots',)	('dot', 'NNS')=1,
('doubly',)	('doubly', 'RB')=1,
('doubts',)	('doubt', 'NNS')=3,
('down',)	('down', 'RP')=2,('down', 'RB')=1,
('down-river',)	('down-river', 'NN')=1,
('drama',)	('drama', 'NN')=1,
('dramatic',)	('dramatic', 'JJ')=1,
('drawing',)	('drawing', 'NN')=2,
('drawn',)	('draw', 'VVN')=1,
('dream',)	('dream', 'NN')=1,
('drew',)	('draw', 'VVD')=1,
('drift',)	('drift', 'VVP')=1,
('drifting',)	('drift', 'VVG')=1,
('drive',)	('drive', 'VV')=1,
('driven',)	('drive', 'VVN')=1,
('drought',)	('drought', 'NN')=1,
('drove',)	('drive', 'VVD')=1,
('due',)	('due', 'JJ')=1,
('due to',)	('due_to', 'VVG')=1,
('dug',)	('dig', 'VVD')=1,
('dugouts',)	('dugout', 'NNS')=1,
('dumb',)	('dumb', 'JJ')=1,
('during',)	('during', 'IN')=1,
('each',)	('each', 'DT')=1,
('each other',)	('each_other', 'NN')=2,
('earlier',)	('early', 'JJR')=2,
('early',)	('early', 'JJ')=2,
('earn',)	('earn', 'VV')=2,
('earth',)	('earth', 'NN')=2,
('east',)	('east', 'JJ')=1,
('eat',)	('eat', 'VV')=1,
('economic',)	('economic', 'JJ')=1,
('editor',)	('editor', 'NN')=1,
('educationalist',)	('educationalist', 'NN')=1,
('effect',)	('effect', 'NN')=2,('effect', 'VV')=1,
('effects',)	('effect', 'NNS')=1,
('effulgent',)	('effulgent', 'JJ')=1,
('eighteenth',)	('eighteenth', 'JJ')=1,
('eighties',)	('eighty', 'NNS')=1,
('elaborate',)	('elaborate', 'JJ')=1,
('elders',)	('elder', 'NNS')=1,
('elements',)	('element', 'NNS')=2,
('eloquently',)	('eloquently', 'RB')=1,
('else',)	('else', 'RB')=1,
('elsewhere',)	('elsewhere', 'RB')=1,
('embodies',)	('embody', 'VVZ')=1,
('emergence',)	('emergence', 'NN')=2,
('emergency',)	('emergency', 'NN')=2,
('emergent',)	('emergent', 'JJ')=3,
('emotion',)	('emotion', 'NN')=1,
('empire',)	('empire', 'NN')=1,
('empires',)	('empire', 'NNS')=1,
('employ',)	('employ', 'VVP')=1,
('employed',)	('employ', 'VVN')=1,
('enable',)	('enable', 'VV')=1,
('encounter',)	('encounter', 'NN')=1,
('encounters',)	('encounter', 'NNS')=2,
('encouraging',)	('encourage', 'VVG')=1,
('end',)	('end', 'NN')=5,
('ends',)	('end', 'VVZ')=2,('end', 'NNS')=1,
('energetic',)	('energetic', 'JJ')=1,
('energy',)	('energy', 'NN')=1,
('enjoyable',)	('enjoyable', 'JJ')=1,
('enjoyed',)	('enjoy', 'VVN')=1,
('enjoying',)	('enjoy', 'VVG')=1,
('enmities',)	('enmity', 'NNS')=1,
('enough',)	('enough', 'JJ')=1,
('enslaved',)	('enslave', 'VVN')=1,
('enter',)	('enter', 'VV')=1,
('entitled',)	('entitle', 'VVD')=1,('entitle', 'VVN')=1,
('entrenched',)	('entrench', 'VVN')=1,
('entrepreneurs',)	('entrepreneur', 'NNS')=1,
('envelop',)	('envelop', 'VV')=1,
('environment',)	('environment', 'NN')=1,
('environments',)	('environment', 'NNS')=1,
('epic',)	('epic', 'NN')=1,
('epiphanies',)	('epiphany', 'NNS')=1,
('equally',)	('equally', 'RB')=2,
('escape',)	('escape', 'NN')=2,
('establish',)	('establish', 'VV')=1,
('estrangements',)	('estrangement', 'NNS')=1,
('et',)	('et', 'CC')=1,
('eternal',)	('eternal', 'JJ')=1,
('evaluation',)	('evaluation', 'NN')=2,
('even',)	('even', 'RB')=1,
('eventfulness',)	('eventfulness', 'NN')=1,
('events',)	('event', 'NNS')=4,
('eventually',)	('eventually', 'RB')=1,
('ever',)	('ever', 'RB')=1,
('everyone',)	('everyone', 'NN')=1,
('evidently',)	('evidently', 'RB')=1,
('exactly',)	('exactly', 'RB')=3,
('exalted',)	('exalted', 'JJ')=1,
('example',)	('example', 'NN')=1,
('examples',)	('example', 'NNS')=1,
('exceptional',)	('exceptional', 'JJ')=1,
('exceptions',)	('exception', 'NNS')=1,
('exchanges',)	('exchange', 'NNS')=1,
('executed',)	('execute', 'VVN')=1,
('exercise',)	('exercise', 'NN')=1,
('exercises',)	('exercise', 'NNS')=1,
('exhibition',)	('exhibition', 'NN')=1,
('exist',)	('exist', 'VVP')=1,
('exists',)	('exist', 'VVZ')=1,
('expect',)	('expect', 'VV')=2,
('expectations',)	('expectation', 'NNS')=1,
('expected',)	('expect', 'VVN')=1,
('experience',)	('experience', 'NN')=15,
('experienced',)	('experience', 'VVD')=1,
('experiment',)	('experiment', 'NN')=1,
('explain',)	('explain', 'VV')=3,
('explaining',)	('explain', 'VVG')=1,
('explains',)	('explain', 'VVZ')=1,
('explanation',)	('explanation', 'NN')=2,
('exploited',)	('exploit', 'VVN')=2,
('exported',)	('export', 'VVN')=1,
('exposure',)	('exposure', 'NN')=1,
('expresses',)	('express', 'VVZ')=1,
('expressively',)	('expressively', 'RB')=1,
('expropriated',)	('expropriate', 'VVN')=1,
('extracted',)	('extract', 'VVN')=1,
('extraordinary',)	('extraordinary', 'JJ')=1,
('eye',)	('eye', 'NN')=5,
('eyes',)	('eye', 'NNS')=3,
('face',)	('face', 'NN')=3,
('faced',)	('face', 'VVN')=1,
('facile',)	('facile', 'JJ')=1,
('fact',)	('fact', 'NN')=3,
('fail',)	('fail', 'VV')=1,
('failed',)	('fail', 'VVN')=1,
('faith',)	('faith', 'NN')=1,
('faithful',)	('faithful', 'NN')=1,
('falls',)	('fall', 'VVZ')=1,
('familiar',)	('familiar', 'JJ')=1,
('family',)	('family', 'NN')=5,
('famous',)	('famous', 'JJ')=1,
('fantasies',)	('fantasy', 'NNS')=1,
('far',)	('far', 'RB')=4,
('fascination',)	('fascination', 'NN')=1,
('fast',)	('fast', 'JJ')=1,
('fastidiousness',)	('fastidiousness', 'NN')=1,
('father',)	('father', 'NN')=1,
('fatigues',)	('fatigue', 'VVZ')=1,
('fault',)	('fault', 'NN')=1,
('faults',)	('fault', 'NNS')=1,
('favour',)	('favour', 'NN')=2,('favour', 'VV')=1,
('favourite',)	('favourite', 'NN')=1,('favourite', 'JJ')=1,
('fear',)	('fear', 'NN')=2,
('features',)	('feature', 'NNS')=1,
('feel',)	('feel', 'VV')=2,
('feeling',)	('feeling', 'NN')=2,
('feelings',)	('feeling', 'NNS')=3,
('feels',)	('feel', 'VVZ')=1,
('felt',)	('feel', 'VVN')=3,('feel', 'VVD')=2,
('fertile',)	('fertile', 'JJ')=1,
('few',)	('few', 'JJ')=1,
('fiasco',)	('fiasco', 'NN')=1,
('fiat',)	('fiat', 'NN')=1,
('fiction',)	('fiction', 'NN')=2,
('fictions',)	('fiction', 'NNS')=1,
('fight',)	('fight', 'VV')=1,
('figure',)	('figure', 'NN')=4,
('figured',)	('figure', 'VVD')=1,
('figures',)	('figure', 'NNS')=2,
('final',)	('final', 'JJ')=1,
('finally',)	('finally', 'RB')=1,
('find',)	('find', 'VVP')=3,
('finds',)	('find', 'VVZ')=2,
('fine',)	('fine', 'JJ')=1,
('finishing',)	('finish', 'VVG')=1,
('fire',)	('fire', 'NN')=5,
('fire-prone',)	('fire-prone', 'NN')=1,
('fireproof',)	('fireproof', 'VV')=1,
('firm',)	('firm', 'NN')=2,
('firmly',)	('firmly', 'RB')=2,
('first',)	('first', 'JJ')=6,('first', 'RB')=1,
('fit',)	('fit', 'VVP')=1,('fit', 'NN')=1,
('five',)	('five', 'CD')=1,
('flat',)	('flat', 'JJ')=1,('flat', 'NN')=1,
('flies',)	('fly', 'VVZ')=1,
('flight',)	('flight', 'NN')=3,
('flights',)	('flight', 'NNS')=1,
('floating',)	('float', 'VVG')=1,
('flowers',)	('flower', 'NNS')=2,
('flows',)	('flow', 'NNS')=1,
('foedera',)	('foedera', 'NN')=1,
('followed',)	('follow', 'VVN')=1,
('for',)	('for', 'IN')=34,
('for example',)	('for_example', 'NN')=2,('for_example', 'VV')=1,
('foreign',)	('foreign', 'JJ')=3,
('forest',)	('forest', 'NN')=2,
('form',)	('form', 'NN')=2,
('formerly',)	('formerly', 'RB')=1,
('forms',)	('form', 'NNS')=3,
('fortunes',)	('fortune', 'NNS')=1,
('forward',)	('forward', 'RB')=1,
('found',)	('find', 'VVN')=5,
('foundered',)	('founder', 'VVD')=1,
('founding',)	('founding', 'NN')=1,('found', 'VVG')=1,
('four',)	('four', 'CD')=1,
('fraud',)	('fraud', 'NN')=1,
('freckled',)	('freckled', 'JJ')=1,
('free',)	('free', 'JJ')=2,
('freely',)	('freely', 'RB')=1,
('frequently',)	('frequently', 'RB')=1,
('friend',)	('friend', 'NN')=2,
('friendly',)	('friendly', 'JJ')=1,
('friends',)	('friend', 'NNS')=4,
('friendship',)	('friendship', 'NN')=1,
('from',)	('from', 'IN')=43,
('fulfilled',)	('fulfill', 'VVD')=1,
('full',)	('full', 'JJ')=1,
('fuller',)	('full', 'JJR')=1,
('fully',)	('fully', 'RB')=1,
('funny',)	('funny', 'JJ')=2,
('furniture',)	('furniture', 'NN')=1,
('further',)	('further', 'JJR')=3,('further', 'RBR')=1,
('furtherance',)	('furtherance', 'NN')=1,
('furthest',)	('furthest', 'JJ')=1,
('futility',)	('futility', 'NN')=4,
('future',)	('future', 'NN')=2,
('gained',)	('gain', 'VVN')=1,
('gains',)	('gain', 'VVZ')=1,('gain', 'NNS')=1,
('gangs',)	('gangue', 'NNS')=5,
('garden',)	('garden', 'NN')=2,
('gardens',)	('garden', 'NNS')=1,
('gates',)	('gate', 'NNS')=2,
('gathered',)	('gather', 'VVN')=1,
('gave',)	('give', 'VVD')=1,
('gazing',)	('gaze', 'VVG')=1,
('general',)	('general', 'JJ')=1,
('generally',)	('generally', 'RB')=1,
('generations',)	('generation', 'NNS')=1,
('genius',)	('genius', 'NN')=1,
('geographies',)	('geography', 'NNS')=1,
('get',)	('get', 'VVP')=1,
('gets',)	('get', 'VVZ')=2,
('getting',)	('get', 'VVG')=3,
('gifted',)	('gifted', 'JJ')=1,
('gifts',)	('gift', 'NNS')=2,
('girl',)	('girl', 'NN')=1,
('girls',)	('girl', 'NNS')=1,
('give',)	('give', 'VVP')=3,('give', 'VV')=1,
('given',)	('give', 'VVN')=3,
('gives',)	('give', 'VVZ')=2,
('glamour',)	('glamour', 'NN')=1,
('glimpsed',)	('glimpse', 'VVN')=1,
('glittering',)	('glitter', 'VVG')=1,
('go',)	('go', 'VV')=3,('go', 'VVP')=1,
('god',)	('god', 'NN')=3,
('gods',)	('god', 'NNS')=4,
('goes',)	('go', 'VVZ')=2,
('going',)	('go', 'VVG')=4,
('golden',)	('golden', 'JJ')=1,
('gone',)	('go', 'VVN')=1,
('good',)	('good', 'JJ')=8,
('government',)	('government', 'NN')=1,
('grafting',)	('graft', 'VVG')=1,
('granite',)	('granite', 'NN')=1,
('granted',)	('grant', 'VVN')=2,
('granular',)	('granular', 'JJ')=1,
('grasping',)	('grasp', 'VVG')=1,
('graves',)	('grave', 'NNS')=1,
('grease',)	('grease', 'NN')=1,
('great',)	('great', 'JJ')=3,
('greater',)	('great', 'JJR')=1,
('greedy',)	('greedy', 'JJ')=2,
('grew',)	('grow', 'VVD')=1,
('grieved',)	('grieve', 'VVN')=1,
('grime',)	('grime', 'NN')=1,
('ground',)	('ground', 'NN')=2,
('grounds',)	('ground', 'NNS')=1,
('grown',)	('grow', 'VVN')=1,
('growth',)	('growth', 'NN')=1,
('guerrillas',)	('guerrilla', 'NNS')=2,
('guns',)	('gun', 'NNS')=1,
('had',)	('have', 'VHD')=19,('have', 'VHN')=1,
('hair',)	('hair', 'NN')=3,
('hairline',)	('hairline', 'NN')=1,
('haji',)	('hajji', 'NNS')=1,
('hakwai',)	('hakwai', 'NP')=1,('hakwai', 'NNS')=1,
('half-caste',)	('half-caste', 'JJ')=1,
('halt',)	('halt', 'NN')=1,
('hand',)	('hand', 'NN')=1,
('hanks',)	('hank', 'NNS')=1,
('happen',)	('happen', 'VV')=1,
('happy',)	('happy', 'JJ')=2,
('harassment',)	('harassment', 'NN')=1,
('hard',)	('hard', 'JJ')=3,('hard', 'RB')=1,
('hard-working',)	('hard-working', 'JJ')=1,
('hark',)	('hark', 'VV')=1,
('has',)	('have', 'VHZ')=49,
('hat',)	('hat', 'NN')=1,
('have',)	('have', 'VH')=18,('have', 'VHP')=16,
('having',)	('have', 'VHG')=7,
('hazard',)	('hazard', 'NN')=1,
('he',)	('he', 'PP')=52,
('headed',)	('head', 'VVN')=1,
('heads',)	('head', 'NNS')=1,
('hear',)	('hear', 'VV')=1,
('heard',)	('hear', 'VVN')=1,
('hearing',)	('hearing', 'NN')=1,
('heat',)	('heat', 'NN')=2,
('heightened',)	('heighten', 'VVN')=1,
('heights',)	('height', 'NNS')=1,
('held',)	('hold', 'VVN')=1,
('helicopters',)	('helicopter', 'NNS')=1,
('help',)	('help', 'NN')=2,('help', 'VV')=1,('help', 'VVP')=1,
('helpful',)	('helpful', 'JJ')=1,
('her',)	('her', 'PP')=7,('her', 'PP$')=6,
('here',)	('here', 'RB')=5,
('hero',)	('hero', 'NN')=4,
('herself',)	('herself', 'PP')=3,
('high',)	('high', 'JJ')=4,
('highly-placed',)	('highly-placed', 'JJ')=1,
('hill',)	('hill', 'NN')=1,
('hills',)	('hill', 'NNS')=1,
('him',)	('him', 'PP')=16,
('himself',)	('himself', 'PP')=8,
('his',)	('his', 'PP$')=67,
('historians',)	('historian', 'NNS')=1,
('historical',)	('historical', 'JJ')=1,
('history',)	('history', 'NN')=1,
('holy',)	('holy', 'JJ')=1,
('home',)	('home', 'NN')=1,
('homeless',)	('homeless', 'JJ')=1,
('honest',)	('honest', 'JJ')=1,
('hope',)	('hope', 'VVP')=1,
('hopefully',)	('hopefully', 'RB')=1,
('horizon',)	('horizon', 'NN')=3,
('hostile',)	('hostile', 'JJ')=1,
('hostility',)	('hostility', 'NN')=2,
('house',)	('house', 'NN')=3,
('houses',)	('house', 'NNS')=1,
('how',)	('how', 'WRB')=6,
('however',)	('however', 'RB')=8,
('huge',)	('huge', 'JJ')=1,
('human',)	('human', 'JJ')=3,
('hundred',)	('hundred', 'CD')=1,
('hunted',)	('hunt', 'VVN')=1,
('hustler',)	('hustler', 'NN')=1,
('hustler-hero',)	('hustler-hero', 'NP')=1,
('hut',)	('hut', 'NN')=2,
('hyacinth',)	('hyacinth', 'NN')=1,
('hyacinths',)	('hyacinth', 'NNS')=2,
('idea',)	('idea', 'NN')=7,
('ideas',)	('idea', 'NNS')=1,
('identified',)	('identify', 'VVN')=1,
('identify',)	('identify', 'VV')=1,
('identifying',)	('identify', 'VVG')=1,
('if',)	('if', 'IN')=3,
('ignores',)	('ignore', 'VVZ')=1,
('ill-gotten',)	('ill-gotten', 'JJ')=1,
('illumination',)	('illumination', 'NN')=1,
('illuminations',)	('illumination', 'NNS')=1,
('illusion',)	('illusion', 'NN')=1,
('image',)	('image', 'NN')=2,
('image-making',)	('image-making', 'NN')=1,
('imagery',)	('imagery', 'NN')=1,
('images',)	('image', 'NNS')=1,
('imaginary',)	('imaginary', 'JJ')=2,
('imaginative',)	('imaginative', 'JJ')=1,
('imagine',)	('imagine', 'VVP')=1,
('imagined',)	('imagine', 'VVN')=1,
('immediately',)	('immediately', 'RB')=1,
('immigrants',)	('immigrant', 'NNS')=1,
('immoderate',)	('immoderate', 'JJ')=1,
('imparted',)	('impart', 'VVN')=1,
('impartial',)	('impartial', 'JJ')=1,
('imperial-insular',)	('imperial-insular', 'JJ')=1,
('importance',)	('importance', 'NN')=1,
('important',)	('important', 'JJ')=4,
('in',)	('in', 'IN')=186,
('in accordance with',)	('in_accordance_with', 'RB')=2,
('in addition',)	('in_addition', 'NN')=1,
('in common',)	('in_common', 'NN')=1,
('in front of',)	('in_front_of', 'JJ')=1,
('in order',)	('in_order', 'NN')=2,('in_order', 'JJR')=1,
('in possession of',)	('in_possession_of', 'JJ')=1,
('in relation to',)	('in_relation_to', 'NN')=1,
('in touch with',)	('in_touch_with', 'JJ')=1,
('in vain',)	('in_vain', 'NN')=1,
('inability',)	('inability', 'NN')=1,
('incidentally',)	('incidentally', 'RB')=1,
('inclined',)	('inclined', 'JJ')=1,
('include',)	('include', 'VVP')=1,
('included',)	('include', 'VVN')=1,
('incomprehensibility',)	('incomprehensibility', 'NN')=1,
('incorporates',)	('incorporate', 'VVZ')=1,
('indecipherable',)	('indecipherable', 'JJ')=1,
('indeed',)	('indeed', 'RB')=3,
('independence',)	('independence', 'NN')=1,
('independent',)	('independent', 'JJ')=1,
('indescribable',)	('indescribable', 'JJ')=1,
('individual',)	('individual', 'JJ')=1,
('infinite',)	('infinite', 'JJ')=1,
('information',)	('information', 'NN')=2,
('ingenious',)	('ingenious', 'JJ')=1,
('injustices',)	('injustice', 'NNS')=1,
('inner',)	('inner', 'JJ')=1,
('insecurity',)	('insecurity', 'NN')=2,
('inside out',)	('inside_out', 'NN')=1,
('insistence',)	('insistence', 'NN')=1,
('insisting',)	('insist', 'VVG')=1,
('inspect',)	('inspect', 'VV')=1,
('inspection',)	('inspection', 'NN')=1,
('inspiration',)	('inspiration', 'NN')=1,
('inspired',)	('inspire', 'VVN')=1,
('instead',)	('instead', 'RB')=1,
('instructive',)	('instructive', 'JJ')=1,
('insult',)	('insult', 'NN')=2,
('intelligent',)	('intelligent', 'JJ')=1,
('intended',)	('intended', 'JJ')=1,
('intentions',)	('intention', 'NNS')=1,
('interactions',)	('interaction', 'NNS')=1,
('interest',)	('interest', 'NN')=1,
('interests',)	('interest', 'NNS')=2,
('interfering',)	('interfere', 'VVG')=1,
('interior',)	('interior', 'NN')=1,
('interpretation',)	('interpretation', 'NN')=4,
('interpretive',)	('interpretive', 'JJ')=1,
('interrupting',)	('interrupt', 'VVG')=1,
('intervening',)	('intervene', 'VVG')=1,
('intimations',)	('intimation', 'NNS')=1,
('into',)	('into', 'IN')=3,
('introduce',)	('introduce', 'VV')=1,
('invaded',)	('invade', 'VVD')=1,
('invested',)	('invest', 'VVN')=1,
